id,timestamp,scene,framerate,marker,rating
0,2023-08-30 15:25:14.725912,image,120,point,5
0,2023-08-30 15:25:27.219762,image,120,aruco,4
0,2023-08-30 15:25:33.355089,image,120,qr,5
0,2023-08-30 15:25:39.971170,text_w,120,point,5
0,2023-08-30 15:25:47.068685,text_w,120,aruco,5
0,2023-08-30 15:25:53.894194,text_w,120,qr,5
0,2023-08-30 15:26:01.110922,text_d,120,point,2
0,2023-08-30 15:26:06.902220,text_d,120,aruco,2
0,2023-08-30 15:26:12.390264,text_d,120,qr,1
0,2023-08-30 15:26:20.731390,image,240,point,4
0,2023-08-30 15:26:26.371429,image,240,aruco,5
0,2023-08-30 15:26:32.115444,image,240,qr,5
0,2023-08-30 15:26:37.803478,text_w,240,point,5
0,2023-08-30 15:26:43.443516,text_w,240,aruco,4
0,2023-08-30 15:26:49.514126,text_w,240,qr,5
0,2023-08-30 15:26:55.053079,text_d,240,point,3
0,2023-08-30 15:27:00.681473,text_d,240,aruco,2
0,2023-08-30 15:27:06.086642,text_d,240,qr,1
0,2023-08-30 15:27:13.875724,image,144,point,5
0,2023-08-30 15:27:19.366706,image,144,aruco,5
0,2023-08-30 15:27:25.014696,image,144,qr,5
0,2023-08-30 15:27:31.142731,text_w,144,point,5
0,2023-08-30 15:27:37.094713,text_w,144,aruco,5
0,2023-08-30 15:27:42.710822,text_w,144,qr,5
0,2023-08-30 15:27:49.454870,text_d,144,point,2
0,2023-08-30 15:27:56.606895,text_d,144,aruco,2
0,2023-08-30 15:28:02.110957,text_d,144,qr,1
0,2023-08-30 15:28:10.228682,image,60,point,1
0,2023-08-30 15:28:15.830941,image,60,aruco,1
0,2023-08-30 15:28:21.262998,image,60,qr,1
0,2023-08-30 15:28:27.469547,text_w,60,point,2
0,2023-08-30 15:28:33.094902,text_w,60,aruco,1
0,2023-08-30 15:28:38.615739,text_w,60,qr,1
0,2023-08-30 15:28:44.162667,text_d,60,point,1
0,2023-08-30 15:28:49.636072,text_d,60,aruco,1
0,2023-08-30 15:28:55.111076,text_d,60,qr,1
0,2023-08-30 15:29:02.948363,image,240,aruco,5
0,2023-08-30 15:29:08.567162,image,240,qr,5
0,2023-08-30 15:29:14.252293,image,240,point,5
0,2023-08-30 15:29:21.864102,text_d,240,aruco,3
0,2023-08-30 15:29:27.407212,text_d,240,qr,4
0,2023-08-30 15:29:32.900510,text_d,240,point,2
0,2023-08-30 15:29:38.532547,text_w,240,aruco,5
0,2023-08-30 15:29:44.268483,text_w,240,qr,5
0,2023-08-30 15:29:50.188540,text_w,240,point,5
0,2023-08-30 15:29:59.216270,image,120,aruco,5
0,2023-08-30 15:30:05.023530,image,120,qr,4
0,2023-08-30 15:30:10.663582,image,120,point,4
0,2023-08-30 15:30:16.212715,text_d,120,aruco,2
0,2023-08-30 15:30:21.743625,text_d,120,qr,1
0,2023-08-30 15:30:27.863665,text_d,120,point,1
0,2023-08-30 15:30:33.503727,text_w,120,aruco,5
0,2023-08-30 15:30:39.431772,text_w,120,qr,5
0,2023-08-30 15:30:44.903759,text_w,120,point,5
0,2023-08-30 15:30:52.586741,image,60,aruco,1
0,2023-08-30 15:30:58.087856,image,60,qr,1
0,2023-08-30 15:31:03.583889,image,60,point,1
0,2023-08-30 15:31:09.111930,text_d,60,aruco,1
0,2023-08-30 15:31:14.591957,text_d,60,qr,1
0,2023-08-30 15:31:20.285068,text_d,60,point,1
0,2023-08-30 15:31:26.389103,text_w,60,aruco,2
0,2023-08-30 15:31:33.429204,text_w,60,qr,2
0,2023-08-30 15:31:38.981229,text_w,60,point,2
0,2023-08-30 15:31:46.933260,image,144,aruco,5
0,2023-08-30 15:31:52.941237,image,144,qr,5
0,2023-08-30 15:31:59.101282,image,144,point,5
0,2023-08-30 15:32:05.437323,text_d,144,aruco,3
0,2023-08-30 15:32:15.245315,text_d,144,qr,2
0,2023-08-30 15:32:20.797391,text_d,144,point,2
0,2023-08-30 15:32:26.989422,text_w,144,aruco,5
0,2023-08-30 15:32:32.600362,text_w,144,qr,5
0,2023-08-30 15:32:38.360394,text_w,144,point,4
0,2023-08-30 15:32:46.216504,image,120,point,4
0,2023-08-30 15:32:51.880502,image,120,aruco,5
0,2023-08-30 15:32:57.400486,image,120,qr,4
0,2023-08-30 15:33:02.901614,text_d,120,point,2
0,2023-08-30 15:33:08.792550,text_d,120,aruco,2
0,2023-08-30 15:33:14.320616,text_d,120,qr,2
0,2023-08-30 15:33:19.968651,text_w,120,point,5
0,2023-08-30 15:33:25.672661,text_w,120,aruco,5
0,2023-08-30 15:33:31.304643,text_w,120,qr,5
0,2023-08-30 15:33:38.821872,image,240,point,5
0,2023-08-30 15:33:44.256762,image,240,aruco,5
0,2023-08-30 15:33:49.781753,image,240,qr,5
0,2023-08-30 15:34:18.719458,text_d,240,point,5
0,2023-08-30 15:34:25.107934,text_d,240,aruco,3
0,2023-08-30 15:34:30.553057,text_d,240,qr,2
0,2023-08-30 15:34:36.137126,text_w,240,point,5
0,2023-08-30 15:34:41.689129,text_w,240,aruco,5
0,2023-08-30 15:34:47.361186,text_w,240,qr,5
0,2023-08-30 15:34:54.985180,image,60,point,1
0,2023-08-30 15:35:00.441257,image,60,aruco,1
0,2023-08-30 15:35:06.145256,image,60,qr,1
0,2023-08-30 15:35:11.753300,text_d,60,point,1
0,2023-08-30 15:35:17.537329,text_d,60,aruco,1
0,2023-08-30 15:35:22.993319,text_d,60,qr,1
0,2023-08-30 15:35:28.473411,text_w,60,point,2
0,2023-08-30 15:35:33.894668,text_w,60,aruco,1
0,2023-08-30 15:35:40.429375,text_w,60,qr,1
0,2023-08-30 15:35:48.879017,image,144,point,4
0,2023-08-30 15:35:54.623191,image,144,aruco,5
0,2023-08-30 15:36:00.159169,image,144,qr,5
0,2023-08-30 15:36:05.695386,text_d,144,point,2
0,2023-08-30 15:36:11.407573,text_d,144,aruco,1
0,2023-08-30 15:36:17.863676,text_d,144,qr,1
0,2023-08-30 15:36:23.311833,text_w,144,point,5
0,2023-08-30 15:36:29.007957,text_w,144,aruco,5
0,2023-08-30 15:36:34.672163,text_w,144,qr,5
5,2023-09-13 15:03:30.344972,text_d,240,qr,5
5,2023-09-13 15:03:44.678089,text_d,240,none,5
5,2023-09-13 15:03:53.030277,text_d,240,point,4
5,2023-09-13 15:04:58.810696,text_d,240,aruco,5
5,2023-09-13 15:05:04.999926,text_w,240,qr,5
5,2023-09-13 15:05:10.978857,text_w,240,none,5
5,2023-09-13 15:05:16.722947,text_w,240,point,5
5,2023-09-13 15:05:22.355112,text_w,240,aruco,5
5,2023-09-13 15:05:28.040267,image,240,qr,5
5,2023-09-13 15:05:33.656350,image,240,none,5
5,2023-09-13 15:05:39.235355,image,240,point,5
5,2023-09-13 15:05:44.955356,image,240,aruco,5
5,2023-09-13 15:06:02.405998,text_d,120,qr,4
5,2023-09-13 15:06:08.533955,text_d,120,none,5
5,2023-09-13 15:06:20.207554,text_d,120,point,3
5,2023-09-13 15:06:26.417076,text_d,120,aruco,4
5,2023-09-13 15:06:32.678208,text_w,120,qr,5
5,2023-09-13 15:06:39.702291,text_w,120,none,5
5,2023-09-13 15:06:45.766265,text_w,120,point,5
5,2023-09-13 15:06:51.433363,text_w,120,aruco,5
5,2023-09-13 15:06:57.673382,image,120,qr,4
5,2023-09-13 15:07:03.561383,image,120,none,5
5,2023-09-13 15:07:09.641440,image,120,point,4
5,2023-09-13 15:07:15.996404,image,120,aruco,4
5,2023-09-13 15:07:24.590529,text_d,144,qr,3
5,2023-09-13 15:07:31.129502,text_d,144,none,5
5,2023-09-13 15:07:37.809511,text_d,144,point,3
5,2023-09-13 15:07:44.473513,text_d,144,aruco,4
5,2023-09-13 15:07:50.353558,text_w,144,qr,5
5,2023-09-13 15:07:56.748616,text_w,144,none,5
5,2023-09-13 15:08:03.006715,text_w,144,point,5
5,2023-09-13 15:08:08.926836,text_w,144,aruco,5
5,2023-09-13 15:08:15.566837,image,144,qr,4
5,2023-09-13 15:08:22.686833,image,144,none,5
5,2023-09-13 15:08:28.982876,image,144,point,4
5,2023-09-13 15:08:35.321900,image,144,aruco,4
5,2023-09-13 15:08:44.665997,text_d,200,qr,3
5,2023-09-13 15:08:50.340817,text_d,200,none,5
5,2023-09-13 15:08:56.220835,text_d,200,point,3
5,2023-09-13 15:09:02.876781,text_d,200,aruco,3
5,2023-09-13 15:09:09.129853,text_w,200,qr,5
5,2023-09-13 15:09:14.876760,text_w,200,none,5
5,2023-09-13 15:09:20.521865,text_w,200,point,5
5,2023-09-13 15:09:26.881903,text_w,200,aruco,5
5,2023-09-13 15:09:32.444095,image,200,qr,4
5,2023-09-13 15:09:38.311199,image,200,none,5
5,2023-09-13 15:09:44.015254,image,200,point,5
5,2023-09-13 15:09:49.770232,image,200,aruco,5
5,2023-09-13 15:09:57.506132,image,144,none,5
5,2023-09-13 15:10:04.298147,image,144,aruco,4
5,2023-09-13 15:10:11.018215,image,144,qr,4
5,2023-09-13 15:10:17.202235,image,144,point,4
5,2023-09-13 15:10:22.925148,text_d,144,none,5
5,2023-09-13 15:10:31.970241,text_d,144,aruco,4
5,2023-09-13 15:10:39.210315,text_d,144,qr,4
5,2023-09-13 15:10:45.786294,text_d,144,point,3
5,2023-09-13 15:10:51.546350,text_w,144,none,5
5,2023-09-13 15:10:57.122350,text_w,144,aruco,5
5,2023-09-13 15:11:02.906338,text_w,144,qr,5
5,2023-09-13 15:11:08.482359,text_w,144,point,5
5,2023-09-13 15:11:16.178414,image,240,none,5
5,2023-09-13 15:11:21.882390,image,240,aruco,5
5,2023-09-13 15:11:28.594465,image,240,qr,4
5,2023-09-13 15:11:34.354450,image,240,point,5
5,2023-09-13 15:11:40.655507,text_d,240,none,5
5,2023-09-13 15:11:47.223418,text_d,240,aruco,4
5,2023-09-13 15:11:53.335443,text_d,240,qr,3
5,2023-09-13 15:11:59.815463,text_d,240,point,3
5,2023-09-13 15:12:05.527498,text_w,240,none,5
5,2023-09-13 15:12:10.995132,text_w,240,aruco,5
5,2023-09-13 15:12:16.607745,text_w,240,qr,5
5,2023-09-13 15:12:22.170610,text_w,240,point,5
5,2023-09-13 15:12:29.957633,image,200,none,5
5,2023-09-13 15:12:36.090836,image,200,aruco,4
5,2023-09-13 15:12:43.195024,image,200,qr,4
5,2023-09-13 15:12:49.059014,image,200,point,5
5,2023-09-13 15:12:54.571097,text_d,200,none,5
5,2023-09-13 15:13:00.904314,text_d,200,aruco,4
5,2023-09-13 15:13:11.257882,text_d,200,qr,3
5,2023-09-13 15:13:18.512574,text_d,200,point,3
5,2023-09-13 15:13:23.957668,text_w,200,none,5
5,2023-09-13 15:13:29.472728,text_w,200,aruco,5
